API Name,Memory,vCPUs,On Demand Hourly,Windows On Demand Hourly
r5b.12xlarge,384,48,$3.58 ,$5.78 
r5b.16xlarge,512,64,$4.77 ,$7.71 
r5b.24xlarge,768,96,$7.15 ,$11.57 
r5b.2xlarge,64,8,$0.60 ,$0.96 
r5b.4xlarge,128,16,$1.19 ,$1.93 
r5b.8xlarge,256,32,$2.38 ,$3.86 
r5b.large,16,2,$0.15 ,$0.24 
r5b.metal,768,96,$7.15 ,$11.57 
r5b.xlarge,32,4,$0.30 ,$0.48 
r5d.12xlarge,384,48,$3.46 ,$5.66 
r5d.16xlarge,512,64,$4.61 ,$7.55 
r5d.24xlarge,768,96,$6.91 ,$11.33 
r5d.2xlarge,64,8,$0.58 ,$0.94 
r5d.4xlarge,128,16,$1.15 ,$1.89 
r5d.8xlarge,256,32,$2.30 ,$3.78 
r5d.large,16,2,$0.14 ,$0.24 
r5d.metal,768,96,$6.91 ,$11.33 
r5d.xlarge,32,4,$0.29 ,$0.47 
r5dn.12xlarge,384,48,$4.01 ,$6.22 
r5dn.16xlarge,512,64,$5.34 ,$8.29 
r5dn.24xlarge,768,96,$8.02 ,$12.43 
r5dn.2xlarge,64,8,$0.67 ,$1.04 
r5dn.4xlarge,128,16,$1.34 ,$2.07 
r5dn.8xlarge,256,32,$2.67 ,$4.14 
r5dn.large,16,2,$0.17 ,$0.26 
r5dn.metal,768,96,$8.02 ,$12.43 
r5dn.xlarge,32,4,$0.33 ,$0.52 
r5n.12xlarge,384,48,$3.58 ,$5.78 
r5n.16xlarge,512,64,$4.77 ,$7.71 
r5n.24xlarge,768,96,$7.15 ,$11.57 
r5n.2xlarge,64,8,$0.60 ,$0.96 
r5n.4xlarge,128,16,$1.19 ,$1.93 
r5n.8xlarge,256,32,$2.38 ,$3.86 
r5n.large,16,2,$0.15 ,$0.24 
r5n.metal,768,96,$7.15 ,$11.57 
r5n.xlarge,32,4,$0.30 ,$0.48 
r6a.12xlarge,384,48,$2.72 ,$4.93 
r6a.16xlarge,512,64,$3.63 ,$6.57 
r6a.24xlarge,768,96,$5.44 ,$9.86 
r6a.2xlarge,64,8,$0.45 ,$0.82 
r6a.32xlarge,1024,128,$7.26 ,$13.15 
r6a.48xlarge,1536,192,$10.89 ,$19.72 
r6a.4xlarge,128,16,$0.91 ,$1.64 
